X Dis,Y Dis,X Vel,Y Vel
-83.45458381,242.4924543,6.704212094,-4.252127455
-79.20245636,235.7882422,6.704212094,-4.252127455
-74.9503289,229.0840301,6.704212094,-4.252127455
-70.69820145,222.379818,6.704212094,-4.252127455
-66.44607399,215.6756059,6.704212094,-4.252127455
-62.19394654,208.9713938,6.704212094,-4.252127455
-57.94181908,202.2671817,6.704212094,-4.252127455
-53.68969163,195.5629696,6.704212094,-4.252127455
-49.43756417,188.8587575,6.704212094,-4.252127455
-45.18543672,182.1545454,6.704212094,-4.252127455
-40.93330926,175.4503333,6.704212094,-4.252127455
-36.68118181,168.7461212,6.704212094,-4.252127455
-32.42905435,162.0419091,6.704212094,-4.252127455
-28.1769269,155.337697,6.704212094,-4.252127455
-23.92479944,148.633485,6.704212094,-4.252127455
-19.67267199,141.9292729,6.704212094,-4.252127455
-15.42054453,135.2250608,6.704212094,-4.252127455
-11.16841708,128.5208487,6.704212094,-4.252127455
-6.916289623,121.8166366,6.704212094,-4.252127455
-2.664162168,115.1124245,6.704212094,-4.252127455
1.587965287,108.4082124,6.704212094,-4.252127455
5.840092741,101.7040003,6.704212094,-4.252127455
10.0922202,94.9997882,6.704212094,-4.252127455
14.34434765,88.2955761,6.704212094,-4.252127455
18.59647511,81.59136401,6.704212094,-4.252127455
22.84860256,74.88715192,6.704212094,-4.252127455
27.10073002,68.18293982,6.704212094,-4.252127455
96.09862614,431.9,0.2,0
96.09862614,431.7,0.3,0.04
96.05862614,431.4,0.4,0
96.05862614,431,0.5,0.04
96.01862614,430.5,0.6,0
96.01862614,429.9,0.7,0.04
95.97862614,429.2,0.8,0
95.97862614,428.4,0.9,0.04
95.93862614,427.5,1,0
95.93862614,426.5,1.1,0.04
95.89862614,425.4,1.2,0
95.89862614,424.2,1.3,0.04
95.85862614,422.9,1.4,0
95.85862614,421.5,1.5,0.04
95.81862614,420,1.6,0
95.81862614,418.4,1.7,0.04
95.77862614,416.7,1.8,0
95.77862614,414.9,1.9,0.04
95.73862614,413,2,0
95.73862614,411,2.1,0.04
95.69862614,408.9,2.2,0
95.69862614,406.7,2.3,0.04
95.65862614,404.4,2.4,0
95.65862614,402,2.5,0.04
95.61862614,399.5,2.6,0
95.61862614,396.9,2.7,0.04
95.57862614,394.2,2.8,0
95.57862614,391.4,2.9,0.04
95.53862614,388.5,3,0
95.53862614,385.5,3.1,0.04
95.49862614,382.4,3.2,0
95.49862614,379.2,3.3,0.04
95.45862614,375.9,3.4,0
95.45862614,372.5,3.5,0.04
95.41862614,369,3.6,0
95.41862614,365.4,3.7,0.04
95.37862614,361.7,3.8,0
95.37862614,357.9,3.9,0.04
95.33862614,354,4,0
95.33862614,350,4.1,0.04
95.29862614,345.9,4.2,0
95.29862614,341.7,4.3,0.04
95.25862614,337.4,4.4,0
95.25862614,333,4.5,0.04
95.21862614,328.5,4.6,0
95.21862614,323.9,4.7,0.04
95.17862614,319.2,4.8,0
95.17862614,314.4,4.9,0.04
95.13862614,309.5,5,0
95.13862614,304.5,5.1,0.04
95.09862614,299.4,5.2,0
95.09862614,294.2,5.3,0.04
95.05862614,288.9,5.4,0
95.05862614,283.5,5.366173879,0.188628965
94.86999717,278.1338261,5.337616357,0.301837854
94.56815932,272.7962098,5.309058835,0.415046742
94.15311258,267.4871509,5.280501313,0.528255631
93.62485695,262.2066496,5.251943791,0.64146452
92.98339243,256.9547058,5.223386269,0.754673408
92.22871902,251.7313196,5.194828747,0.867882297
91.36083672,246.5364908,5.166271225,0.981091185
90.37974554,241.3702196,5.137713703,1.094300074
89.28544546,236.2325059,5.109156181,1.207508963
88.0779365,231.1233497,5.080598659,1.320717851
86.75721865,226.042751,5.052041137,1.43392674
85.32329191,220.9907099,5.023483615,1.547135629
83.77615628,215.9672263,4.994926094,1.660344517
82.11581176,210.9723002,4.966368572,1.773553406
80.34225836,206.0059316,4.93781105,1.886762294
78.45549606,201.0681206,4.909253528,1.999971183
76.45552488,196.158867,4.880696006,2.113180072
74.34234481,191.278171,4.852138484,2.22638896
72.11595585,186.4260326,4.823580962,2.339597849
69.776358,181.6024516,4.79502344,2.452806738
67.32355126,176.8074282,4.766465918,2.566015626
64.75753564,172.0409622,4.737908396,2.679224515
62.07831112,167.3030538,4.709350874,2.792433403
59.28587772,162.593703,4.680793352,2.905642292
56.38023542,157.9129096,4.65223583,3.018851181
53.36138424,153.2606738,4.623678308,3.132060069
50.22932417,148.6369955,4.595120786,3.245268958
46.98405522,144.0418747,4.566563264,3.358477847
43.62557737,139.4753114,4.538005743,3.471686735
40.15389064,134.9373057,4.638005743,3.431686735
36.7222039,130.2992999,4.738005743,3.391686735
33.33051716,125.5612942,4.838005743,3.351686735
29.97883043,120.7232885,4.938005743,3.311686735
26.66714369,115.7852827,5.038005743,3.271686735
23.39545696,110.747277,5.138005743,3.231686735
20.16377022,105.6092712,5.238005743,3.191686735
16.97208349,100.3712655,5.338005743,3.151686735
13.82039675,95.03325974,5.438005743,3.111686735
10.70871002,89.595254,5.538005743,3.071686735
7.637023283,84.05724826,5.638005743,3.031686735
4.605336548,78.41924251,5.738005743,2.991686735
1.613649813,72.68123677,5.838005743,2.951686735
-1.338036922,66.84323103,5.938005743,2.911686735
55.46685804,431.9,0.2,0
55.46685804,431.7,0.3,0.04
55.42685804,431.4,0.4,0
55.42685804,431,0.5,0.04
55.38685804,430.5,0.6,0
55.38685804,429.9,0.7,0.04
55.34685804,429.2,0.8,0
55.34685804,428.4,0.9,0.04
55.30685804,427.5,1,0
55.30685804,426.5,1.1,0.04
55.26685804,425.4,1.2,0
55.26685804,424.2,1.3,0.04
55.22685804,422.9,1.4,0
55.22685804,421.5,1.5,0.04
55.18685804,420,1.6,0
55.18685804,418.4,1.7,0.04
55.14685804,416.7,1.8,0
55.14685804,414.9,1.9,0.04
55.10685804,413,2,0
55.10685804,411,2.1,0.04
55.06685804,408.9,2.2,0
55.06685804,406.7,2.3,0.04
55.02685804,404.4,2.4,0
55.02685804,402,2.5,0.04
54.98685804,399.5,2.6,0
54.98685804,396.9,2.7,0.04
54.94685804,394.2,2.8,0
54.94685804,391.4,2.9,0.04
54.90685804,388.5,3,0
54.90685804,385.5,3.1,0.04
54.86685804,382.4,3.2,0
54.86685804,379.2,3.3,0.04
54.82685804,375.9,3.4,0
54.82685804,372.5,3.5,0.04
54.78685804,369,3.6,0
54.78685804,365.4,3.7,0.04
54.74685804,361.7,3.8,0
54.74685804,357.9,3.9,0.04
54.70685804,354,4,0
54.70685804,350,4.1,0.04
54.66685804,345.9,4.2,0
54.66685804,341.7,4.3,0.04
54.62685804,337.4,4.4,0
54.62685804,333,4.5,0.04
54.58685804,328.5,4.6,0
54.58685804,323.9,4.7,0.04
54.54685804,319.2,4.8,0
54.54685804,314.4,4.9,0.04
54.50685804,309.5,4.834192485,0.111838581
54.39501946,304.6658075,4.768384971,0.183677161
54.2113423,299.8974225,4.702577456,0.255515742
53.95582655,295.1948451,4.636769942,0.327354323
53.62847223,290.5580751,4.570962427,0.399192903
53.22927933,285.9871127,4.505154913,0.471031484
52.75824784,281.4819578,4.439347398,0.542870065
52.21537778,277.0426104,4.373539884,0.614708646
51.60066913,272.6690705,4.307732369,0.686547226
50.91412191,268.3613382,4.241924855,0.758385807
50.1557361,264.1194133,4.17611734,0.830224388
49.32551171,259.943296,4.110309826,0.902062968
48.42344874,255.8329861,4.044502311,0.973901549
47.44954719,251.7884838,3.982698912,1.051458599
46.39808859,247.8057849,3.925096762,1.134590895
45.2634977,243.8806881,3.871887873,1.223148416
44.04034928,240.0088003,3.823258908,1.316974538
42.72337475,236.1855414,3.779390948,1.415906212
41.30746853,232.4061504,3.740459274,1.519774172
39.78769436,228.6656911,3.840459274,1.479774172
38.30792019,224.8252319,3.940459274,1.439774172
36.86814602,220.8847726,4.040459274,1.399774172
35.46837185,216.8443133,4.140459274,1.359774172
34.10859767,212.703854,4.240459274,1.319774172
32.7888235,208.4633948,4.340459274,1.279774172
31.50904933,204.1229355,4.440459274,1.239774172
30.26927516,199.6824762,4.540459274,1.199774172
29.06950099,195.142017,4.640459274,1.159774172
27.90972681,190.5015577,4.740459274,1.119774172
26.78995264,185.7610984,4.840459274,1.079774172
25.71017847,180.9206391,4.940459274,1.039774172
24.6704043,175.9801799,5.040459274,0.999774172
23.67063013,170.9397206,5.140459274,0.959774172
22.71085596,165.7992613,5.240459274,0.919774172
21.79108178,160.558802,5.340459274,0.879774172
20.91130761,155.2183428,5.440459274,0.839774172
20.07153344,149.7778835,5.540459274,0.799774172
19.27175927,144.2374242,5.640459274,0.759774172
18.5119851,138.5969649,5.740459274,0.719774172
17.79221092,132.8565057,5.840459274,0.679774172
17.11243675,127.0160464,5.940459274,0.639774172
16.47266258,121.0755871,6.040459274,0.599774172
15.87288841,115.0351278,6.140459274,0.559774172
15.31311424,108.8946686,6.240459274,0.519774172
14.79334006,102.6542093,6.340459274,0.479774172
14.31356589,96.31375002,6.440459274,0.439774172
13.87379172,89.87329075,6.540459274,0.399774172
13.47401755,83.33283147,6.640459274,0.359774172
13.11424338,76.6923722,6.740459274,0.319774172
12.7944692,69.95191293,6.840459274,0.279774172
17.07108804,431.9,0.2,0
17.07108804,431.7,0.3,0.04
17.03108804,431.4,0.4,0
17.03108804,431,0.5,0.04
16.99108804,430.5,0.6,0
16.99108804,429.9,0.7,0.04
16.95108804,429.2,0.8,0
16.95108804,428.4,0.9,0.04
16.91108804,427.5,1,0
16.91108804,426.5,1.1,0.04
16.87108804,425.4,1.2,0
16.87108804,424.2,1.3,0.04
16.83108804,422.9,1.4,0
16.83108804,421.5,1.5,0.04
16.79108804,420,1.6,0
16.79108804,418.4,1.7,0.04
16.75108804,416.7,1.8,0
16.75108804,414.9,1.9,0.04
16.71108804,413,2,0
16.71108804,411,2.1,0.04
16.67108804,408.9,2.2,0
16.67108804,406.7,2.3,0.04
16.63108804,404.4,2.4,0
16.63108804,402,2.5,0.04
16.59108804,399.5,2.6,0
16.59108804,396.9,2.7,0.04
16.55108804,394.2,2.8,0
16.55108804,391.4,2.9,0.04
16.51108804,388.5,3,0
16.51108804,385.5,3.1,0.04
16.47108804,382.4,3.2,0
16.47108804,379.2,3.3,0.04
16.43108804,375.9,3.4,0
16.43108804,372.5,3.5,0.04
16.39108804,369,3.6,0
16.39108804,365.4,3.7,0.04
16.35108804,361.7,3.8,0
16.35108804,357.9,3.9,0.04
16.31108804,354,4,0
16.31108804,350,4.1,0.04
16.27108804,345.9,4.2,0
16.27108804,341.7,4.3,0.04
16.23108804,337.4,4.4,0
16.23108804,333,4.5,0.04
16.19108804,328.5,4.6,0
16.19108804,323.9,4.7,0.04
16.15108804,319.2,4.8,0
16.15108804,314.4,4.9,0.04
16.11108804,309.5,5,0
16.11108804,304.5,5.1,0.04
16.07108804,299.4,5.2,0
16.07108804,294.2,5.3,0.04
16.03108804,288.9,5.4,0
16.03108804,283.5,5.5,0.04
15.99108804,278,5.6,0
15.99108804,272.4,5.7,0.04
15.95108804,266.7,5.8,0
15.95108804,260.9,5.9,0.04
15.91108804,255,6,0
15.91108804,249,6.1,0.04
15.87108804,242.9,6.2,0
15.87108804,236.7,6.3,0.04
15.83108804,230.4,6.4,0
15.83108804,224,6.5,0.04
15.79108804,217.5,6.6,0
15.79108804,210.9,6.7,0.04
15.75108804,204.2,6.8,0
15.75108804,197.4,6.9,0.04
15.71108804,190.5,7,0
15.71108804,183.5,7.1,0.04
15.67108804,176.4,7.2,0
15.67108804,169.2,7.3,0.04
15.63108804,161.9,7.4,0
15.63108804,154.5,7.5,0.04
15.59108804,147,7.6,0
15.59108804,139.4,7.7,0.04
15.55108804,131.7,7.8,0
15.55108804,123.9,7.9,0.04
15.51108804,116,8,0
15.51108804,108,8,0
15.51108804,100,8,0
15.51108804,92,8,0
15.51108804,84,8,0
15.51108804,76,8,0
15.51108804,68,8,0
743.5194712,431.9,0,0
743.5194712,431.9,-0.1,0.04
743.4794712,432,-0.2,0
743.4794712,432.2,-0.3,0.04
743.4394712,432.5,-0.4,0
743.4394712,432.9,-0.5,0.04
743.3994712,433.4,-0.6,0
743.3994712,434,-0.7,0.04
743.3594712,434.7,-0.8,0
743.3594712,435.5,-0.9,0.04
743.3194712,436.4,-1,0
743.3194712,437.4,-1.1,0.04
743.2794712,438.5,-1.2,0
743.2794712,439.7,-1.3,0.04
743.2394712,441,-1.4,0
743.2394712,442.4,-1.5,0.04
743.1994712,443.9,-1.6,0
743.1994712,445.5,-1.7,0.04
743.1594712,447.2,-1.8,0
743.1594712,449,-1.9,0.04
743.1194712,450.9,-2,0
743.1194712,452.9,-2.1,0.04
743.0794712,455,-2.2,0
743.0794712,457.2,-2.3,0.04
743.0394712,459.5,-2.4,0
743.0394712,461.9,-2.5,0.04
742.9994712,464.4,-2.6,0
742.9994712,467,-2.7,0.04
742.9594712,469.7,-2.8,0
742.9594712,472.5,-2.9,0.04
742.9194712,475.4,-3,0
742.9194712,478.4,-3.1,0.04
742.8794712,481.5,-3.2,0
742.8794712,484.7,-3.3,0.04
742.8394712,488,-3.399878165,0.006979899
742.8324913,491.3998782,-3.499390975,-0.019068806
742.8515601,494.8992691,-3.598295355,0.041836887
742.8097232,498.4975645,-3.696348968,0.029671507
742.7800517,502.1939135,-3.793310519,0.024401142
742.7556505,505.987224,-3.888940039,0.025983481
742.7296671,509.876164,-3.982999184,0.03436786
742.6952992,513.8591632,-4.075251523,0.049495331
742.6458039,517.9344147,-4.165462827,0.07129873
742.5745051,522.0998776,-4.253401351,0.099702758
742.4748024,526.3532789,-4.338838122,0.134624077
742.3401783,530.692117,-4.421547213,0.175971406
742.1642069,535.1136642,-4.501306023,0.223645635
741.9405613,539.6149703,-4.577895541,0.277539948
741.6630213,544.1928658,-4.651100622,0.337539948
741.3254814,548.8439664,-4.720710241,0.403523801
740.9219576,553.5646767,-4.786517756,0.475362381
740.4465952,558.3511944,-4.848321155,0.552919432
739.8936758,563.1995156,-4.905923305,0.636051727
739.257624,568.1054389,-4.959132194,0.724609249
738.5330148,573.0645711,-5.007761159,0.81843537
737.7145794,578.0723322,-5.051629119,0.917367044
736.7972124,583.1239614,-5.090560793,1.021235004
735.7759774,588.2145221,-5.124386914,1.129863969
734.6461134,593.3389091,-5.152944436,1.243072858
733.4030405,598.4918535,-5.176076731,1.360675009
732.0423655,603.6679302,-5.193633782,1.482478407
730.5598871,608.861564,-5.205472363,1.608285922
728.9516012,614.0670364,-5.211456215,1.737895541
727.2137057,619.2784926,-5.211456215,1.871100622
725.342605,624.4899488,-5.205350528,2.00769014
723.3349149,629.6952993,-5.193024757,2.14744895
721.1874659,634.8883241,-5.174372086,2.290158041
718.8973079,640.0626962,-5.149293405,2.435594812
716.4617131,645.2119896,-5.117697433,2.583533336
713.8781798,650.329687,-5.079500832,2.73374464
711.1444351,655.4091878,-5.041304231,2.883955943
708.2604792,660.4504921,-4.941304231,2.843955943
705.4165232,665.3917963,-4.841304231,2.803955943
702.6125673,670.2331005,-4.741304231,2.763955943
699.8486113,674.9744048,-4.641304231,2.723955943
697.1246554,679.615709,-4.541304231,2.683955943
694.4406995,684.1570132,-4.441304231,2.643955943
691.7967435,688.5983175,-4.341304231,2.603955943
689.1927876,692.9396217,-4.241304231,2.563955943
686.6288316,697.1809259,-4.141304231,2.523955943
684.1048757,701.3222302,-4.041304231,2.483955943
681.6209197,705.3635344,-3.941304231,2.443955943
679.1769638,709.3048386,-3.841304231,2.403955943
676.7730079,713.1461429,-3.741304231,2.363955943
674.4090519,716.8874471,-3.641304231,2.323955943
672.085096,720.5287513,-3.541304231,2.283955943
669.80114,724.0700555,-3.441304231,2.243955943
667.5571841,727.5113598,-3.341304231,2.203955943
665.3532281,730.852664,-3.241304231,2.163955943
663.1892722,734.0939682,-3.141304231,2.123955943
661.0653163,737.2352725,-3.041304231,2.083955943
658.9813603,740.2765767,-2.941304231,2.043955943
656.9374044,743.2178809,-2.841304231,2.003955943
654.9334484,746.0591852,-2.741304231,1.963955943
652.9694925,748.8004894,-2.641304231,1.923955943
651.0455365,751.4417936,-2.541304231,1.883955943
649.1615806,753.9830979,-2.441304231,1.843955943
647.3176247,756.4244021,-2.341304231,1.803955943
645.5136687,758.7657063,-2.241304231,1.763955943
643.7497128,761.0070105,-2.141304231,1.723955943
642.0257568,763.1483148,-2.041304231,1.683955943
640.3418009,765.189619,-1.941304231,1.643955943
638.6978449,767.1309232,-1.841304231,1.603955943
637.093889,768.9722275,-1.741304231,1.563955943
635.5299331,770.7135317,-1.641304231,1.523955943
634.0059771,772.3548359,-1.541304231,1.483955943
632.5220212,773.8961402,-1.441304231,1.443955943
631.0780652,775.3374444,-1.341304231,1.403955943
629.6741093,776.6787486,-1.241304231,1.363955943
628.3101533,777.9200529,-1.141304231,1.323955943
626.9861974,779.0613571,-1.041304231,1.283955943
625.7022415,780.1026613,-0.941304231,1.243955943
624.4582855,781.0439656,-0.841304231,1.203955943
623.2543296,781.8852698,-0.741304231,1.163955943
622.0903736,782.626574,-0.641304231,1.123955943
620.9664177,783.2678782,-0.60310763,1.274167246
619.6922504,783.8709859,-0.564911029,1.424378549
618.2678719,784.4358969,-0.5200385,1.576630889
616.691241,784.9559354,-0.468422879,1.730690034
614.960551,785.4243583,-0.410005217,1.886319554
613.0742314,785.8343635,-0.344734853,2.043281105
611.0309503,786.1790984,-0.272569473,2.201334718
608.8296156,786.4516678,-0.193475166,2.360239097
606.4693765,786.645143,-0.10742646,2.519751907
